what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362005331116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362005336748
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1362005363036
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1362005365192
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362005367117
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1362005369086
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1362005370181
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1362005372451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362005376623
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362005381523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362005436917
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362005956109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362006162399
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362006316025
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1362006321845
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362006323773
opened,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1362006325960
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1362006326046
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1362006327385
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1362006327471
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1362006327643
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1362006327696
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1362006327812
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1362006330261
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1362006330448
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362006335462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362006338132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362006515794
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1362006535635
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1362006538242
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1362006546413
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1362006548665
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362006679687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362006686500
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362006688261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362006696271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362006716368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362006838907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362006840592
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362006841359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362006845082
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362006865980
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362006867504
activated,view,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms.views.LogCatView",1362006885692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362006934905
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362006939261
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362006939303
activated,view,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms.views.LogCatView",1362006942485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362006951241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362006954799
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362006954836
activated,view,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms.views.LogCatView",1362006957629
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362006997596
error,log,,,"Unhandled event loop exception",1362006997602
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362007000622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362007021868
