what,kind,bundleId,bundleVersion,description,time
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1362172878316
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1362172885322
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1362172885417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362172892451
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362172895215
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362172896751
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1362172896865
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1362172902053
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362172907059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362172908763
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1362172948535
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362172954082
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362172955676
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1362172989721
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362172997491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362172999042
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1362173023043
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1362173039426
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1362173043966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362173048799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362173050516
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1362173051914
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1362173132460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362173150726
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362173152228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362173153599
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362173154400
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1362173202819
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362173207547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362173209680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362173241050
